,a_index,create_time,tag,title,url
0,100.0,01/01/2013 18:58:22,,เผยโฉมสุดชัด BlackBerry X10 (N-Series) ถูกใจกันไหมเอ่ย^__^,http://pantip.com/topic/30000100.html
0,101.0,01/01/2013 18:58:33,,ปีใหม่ชวนทำบุญใหญ่ เวียนเทียนรอบพระเกศาธาตุ ณ ท้องสนามหลวงค่ะ,http://pantip.com/topic/30000101.html
0,102.0,01/01/2013 19:29:01,Academy Fantasia,Deleted - [AF4] NatTol LIVE!! @Together 5234 ~ Happy New Year 2013 ~,http://pantip.com/topic/30000102.html
0,103.0,01/01/2013 18:58:51,ปัญหาสังคม,รบกวนสอบถามว่า ตอนนี้การแจ้งความเกี่ยวกับเอกสารหาย ไม่ต้องเสียค่าธรรมเนียมแล้วใช่ไหมคะ,http://pantip.com/topic/30000103.html
0,104.0,01/01/2013 18:58:53,"นักวิทยาศาสตร์, ชีววิทยา",จริงหรือไม่ที่เค้าว่าหมูหยองไมมีคุณค่าทางสารอาหาร,http://pantip.com/topic/30000104.html
0,105.0,01/01/2013 18:59:01,ร้านอาหาร,ร้านอาหารที่หาดแม่พิมพ์ไฟไหม้หมดเลย,http://pantip.com/topic/30000105.html
0,106.0,01/02/2013 05:54:26,จักรยาน,สวัสดีปีใหม่ 2556 ชาวสองเท้าปั่นครับ เอารูปทัวร์รุ่งริ่งมาฝากนิดหน่อยครับ,http://pantip.com/topic/30000106.html
0,107.0,01/01/2013 18:59:07,"ดูนก, ทริปถ่ายรูป, บันทึกนักเดินทาง, เที่ยวเชิงอนุรักษ์, เที่ยวไทย",[CR]๏L๏s ~:~:~:~:~ . . . . ชมฝูงนกนางนวลอพยพ บินหนีหนาวมาไทย ที่ สถานตากอากาศบางปู  สมุทรปราการ . . . . ~:~:~:~:~ ๏L๏s,http://pantip.com/topic/30000107.html
0,108.0,01/01/2013 18:59:11,รถยนต์,ยินดีกับ pantip แบบใหม่ด้วยครับ  ^ ^,http://pantip.com/topic/30000108.html
0,109.0,01/01/2013 18:59:23,นักแสดง,โพลดารา <ดาราโหวตกันเอง>  ใครเป็นพระนางในดวงใจ - ดาวรุ่ง - หล่อหยดย้อยสวยหยาดเยิ้ม - ดาราถูกยี้ - เซ็กซี่ มาดูกัน,http://pantip.com/topic/30000109.html
0,110.0,01/01/2013 18:59:34,E-commerce,"iPostweb รับโปรโมทเว็บ,ร้านค้า,facebook ให้เป็นที่รู้จักในโลกออนไลน์",http://pantip.com/topic/30000110.html
0,111.0,01/01/2013 18:59:40,"ปัญหาสังคม, ปัญหาชีวิต",สวัสดีปีใหม่ครับ,http://pantip.com/topic/30000111.html
0,112.0,01/01/2013 18:59:53,ข้อเสนอแนะถึงพันทิป,พันทิพใหม่ ยังไม่เป๊ะ ล๊อคอิน แล้ว ต้องล๊อคอินซ้ำ,http://pantip.com/topic/30000112.html
0,113.0,01/01/2013 18:59:58,,โย่ววววว,http://pantip.com/topic/30000113.html
0,114.0,01/01/2013 19:00:18,"ความงาม, น้ำหอม, Dress Up Club, แฟชั่น, แต่งหน้า","Pre Order + พร้อมส่ง นาฬิกาทุกแบรนด์ Invicta, Skagen / ยา GNC / น้ำหอม/กระดาษหอม Little Trees",http://pantip.com/topic/30000114.html
0,116.0,01/01/2013 19:00:22,แมว,สวัสดีปีใหม่ 2556,http://pantip.com/topic/30000116.html
0,117.0,01/01/2013 19:00:29,โทรศัพท์มือถือ,โอ้ววววว....pantip..โฉมใหม่ เล่นเอา งง งวย ^^,http://pantip.com/topic/30000117.html
0,118.0,01/01/2013 19:00:33,กล้องดิจิตอล,ลองเอากล้องคอมแพ็คส่องดวงจันทร์ดูได้ผลแบบนี้นี่เอง,http://pantip.com/topic/30000118.html
0,119.0,01/01/2013 19:00:34,หาเพื่อน,เพื่อนๆ ยัง อยู่กันครบหรือเปล่าครับ,http://pantip.com/topic/30000119.html
0,120.0,01/01/2013 19:00:37,,###... พา Tamron 90/2.8 72B ไปเที่ยวแม่ฮ่องสอน ...###,http://pantip.com/topic/30000120.html
0,121.0,01/01/2013 19:00:42,กล้อง Olympus,ขอลอง 700 kb หน่อยครับ //smile,http://pantip.com/topic/30000121.html
0,122.0,01/01/2013 19:00:43,โทรศัพท์มือถือ,โอ้ววววว....pantip..โฉมใหม่ เล่นเอา งง งวย ^^,http://pantip.com/topic/30000122.html
0,124.0,01/01/2013 19:00:46,มอเตอร์ไซค์,สวัสดีปีใหม่ครับ,http://pantip.com/topic/30000124.html
0,125.0,01/01/2013 19:00:49,,สวัสดีปีใหม่เน้,http://pantip.com/topic/30000125.html
0,126.0,01/01/2013 19:00:56,"สมาร์ทโฟน, โทรศัพท์มือถือ",โอ้ววววว....pantip..โฉมใหม่ เล่นเอา งง งวย ^^,http://pantip.com/topic/30000126.html
0,127.0,01/01/2013 19:01:00,ซอฟต์แวร์,if it ain't broke don't fix it พันทิปมาผิดทางแล้ว,http://pantip.com/topic/30000127.html
0,128.0,01/01/2013 19:01:04,กล้องดิจิตอล,มาสวัสดีปีใหม่ กับ พันธ์ทิพย์ใหม่,http://pantip.com/topic/30000128.html
0,129.0,01/01/2013 19:01:28,ภาพยนตร์ต่างประเทศ,หนังเรื่องแรกที่ดูในปีนี้คือเรื่องอะไรครับ ?,http://pantip.com/topic/30000129.html
0,130.0,01/01/2013 19:01:29,"สมาร์ทโฟน, โทรศัพท์มือถือ",โอ้ววววว....pantip..โฉมใหม่ เล่นเอา งง งวย ^^,http://pantip.com/topic/30000130.html
0,131.0,01/01/2013 19:01:40,ความบันเทิงในบ้าน,จานไหนรับช่อง cctv ข่าวจีนหรือฮ่องกง ได้บ้างครับ แบบไม่มีรายเดือน,http://pantip.com/topic/30000131.html
0,132.0,01/01/2013 19:02:05,หาเพื่อน,มีใครชอบระบบใหม่ของพันทิปบ้าง,http://pantip.com/topic/30000132.html
